Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64de276b935029ab476b1083,63d8766016c0bfcd19d3c732,APPROVED,2023-08-17T13:58:10Z,2023-08-17T14:11:40Z,2023-08-17T17:32:34Z,2023-08-17T14:11:41Z,810,C6VEY6VR,971,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de277a56a911d7f753a7bc,622a066173bc257c44fa255b,APPROVED,2023-08-17T13:58:29Z,2023-08-17T14:39:40Z,2023-08-17T17:32:34Z,2023-08-17T14:39:44Z,2471,C6VEY6VR,711,74,Male,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de27a81023db2d3e6050f8,6143abecd2f51fa8dfe7f3c3,APPROVED,2023-08-17T13:59:09Z,2023-08-17T14:18:27Z,2023-08-17T17:32:34Z,2023-08-17T14:18:28Z,1159,C6VEY6VR,1437,31,Male,White,United States,United States,United States,English,No,Full-Time
64de280087b0c2c390143b78,572535bba34b2a001306827c,APPROVED,2023-08-17T14:00:36Z,2023-08-17T14:18:08Z,2023-08-17T17:32:34Z,2023-08-17T14:18:09Z,1053,C6VEY6VR,2497,37,Male,Mixed,United States,United States,United States,English,No,Full-Time
64de28601756735d7ac7e3a3,628d0122bd2de9268f57e207,APPROVED,2023-08-17T14:02:16Z,2023-08-17T14:30:10Z,2023-08-17T17:32:34Z,2023-08-17T14:30:27Z,1675,C6VEY6VR,1200,27,Male,Asian,Korea,United States,Korea,English,No,Full-Time
64de286906dc05f2997b2414,56f0393f3f71990005d0e66d,APPROVED,2023-08-17T14:02:17Z,2023-08-17T14:15:36Z,2023-08-17T17:32:34Z,2023-08-17T14:15:36Z,799,C6VEY6VR,2526,46,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de286ecae73349069df682,60e00468ba249d2d30b2d7b2,APPROVED,2023-08-17T14:08:14Z,2023-08-17T14:53:35Z,2023-08-17T17:32:35Z,2023-08-17T14:53:37Z,2722,C6VEY6VR,942,41,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de2874ab6019c63cb3c5da,5d63275f9b22da000117b107,APPROVED,2023-08-17T14:02:31Z,2023-08-17T14:39:43Z,2023-08-17T17:32:35Z,2023-08-17T14:39:44Z,2233,C6VEY6VR,3454,70,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de28a211e8a7c20210a4e2,56435b83942576000a66eb5d,APPROVED,2023-08-17T14:03:17Z,2023-08-17T14:14:51Z,2023-08-17T17:32:35Z,2023-08-17T14:14:51Z,694,C6VEY6VR,5294,44,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64de28fc2ea6710942ae5501,5dc1d16946c7ba134f6626bc,APPROVED,2023-08-17T14:05:40Z,2023-08-17T14:55:11Z,2023-08-17T17:32:35Z,2023-08-17T14:55:12Z,2972,C6VEY6VR,2028,34,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
