"player","points","cells","env_number","gempresent","round","tot_points","gem","cell","x","y"
1,262,20,6,1,11,3569,1,19,3,2
1,247,20,6,1,11,3569,1,19,3,2
1,257,20,6,1,11,3569,1,19,3,2
1,-49,38,3,1,12,33,0,37,5,4
1,-65,38,3,1,12,33,0,37,5,4
1,8,28,3,1,12,33,0,27,3,3
1,-31,38,3,1,12,33,0,37,5,4
1,-49,27,3,1,12,33,0,26,2,3
1,-29,37,3,1,12,33,0,36,4,4
1,35,19,3,1,12,33,0,18,2,2
1,6,28,3,1,12,33,0,27,3,3
1,38,19,3,1,12,33,0,18,2,2
1,2,28,3,1,12,33,0,27,3,3
1,-49,18,3,1,12,33,0,17,1,2
1,35,19,3,1,12,33,0,18,2,2
1,36,19,3,1,12,33,0,18,2,2
1,37,19,3,1,12,33,0,18,2,2
1,37,19,3,1,12,33,0,18,2,2
1,37,19,3,1,12,33,0,18,2,2
1,-58,11,3,1,12,33,0,10,2,1
1,-18,11,3,1,12,33,0,10,2,1
1,-27,12,3,1,12,33,0,11,3,1
1,36,19,3,1,12,33,0,18,2,2
1,49,34,3,1,12,33,0,33,1,4
1,50,34,3,1,12,33,0,33,1,4
1,27,35,3,1,12,33,0,34,2,4
1,9,43,3,1,12,33,0,42,2,5
1,-34,44,3,1,12,33,0,43,3,5
2,-48,19,6,0,1,-89,0,18,2,2
2,-55,19,6,0,1,-89,0,18,2,2
2,-23,29,6,0,1,-89,0,28,4,3
2,-72,20,6,0,1,-89,0,19,3,2
2,2,23,6,0,1,-89,0,22,6,2
2,-44,47,6,0,1,-89,0,46,6,5
2,-7,38,6,0,1,-89,0,37,5,4
2,2,9,6,0,1,-89,0,8,0,1
2,38,10,6,0,1,-89,0,9,1,1
2,43,42,6,0,1,-89,0,41,1,5
2,-37,50,6,0,1,-89,0,49,1,6
2,-41,50,6,0,1,-89,0,49,1,6
2,43,42,6,0,1,-89,0,41,1,5
2,51,42,6,0,1,-89,0,41,1,5
2,43,42,6,0,1,-89,0,41,1,5
2,57,42,6,0,1,-89,0,41,1,5
2,-16,43,6,0,1,-89,0,42,2,5
2,-3,52,6,0,1,-89,0,51,3,6
2,36,13,6,0,1,-89,0,12,4,1
