"playerNr","groupNr","subjectNr","period","check","prolificID","orderEnvs1","orderEnvs2","orderEnvs3","counter1","counter2","counter3","orderRounds","thisRound","treatment","gemPresent","socialInfo","points","refreshTaskCount","clickedCells","totalPoints","thisEnv","consent","rnd_decI","counterEnv1ng","qR1","qR2","qR3","newvar","goal","strategy","general","partA","remarks","age","gender","time_check","time_welcome","time_consent","time_i1","time_i2","time_i3","time_i4","time_i5","time_i6","time_i7","time_i8","time_i9","time_i10","time_iend","time_quiz","time_play.(old)","time_play","time_break","time_Questionnaire","time_end","time_376482"
4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA,1,"28,50,30,53,51,45,21,17,35,55,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60","59,-13,51,-14,18,-52,-22,22,49,44,-37,-50,13,251,-61,21,21,9,-9,-31,-53,-29,14,-22,-5",NA,"2,11,20,29,38,43,54,63,40,16,14,27,42,60,58,33,17,18,19,21,22,31,47,56,45",174,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,NA,1,"30,30,30,30,30,30,28,19,19,19,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36","-46,-30,8,-34,57,-32,34,15,7,6,-39,8,-25,-50,53,4,50,50,-30,36,-54,-23,248,25,45",NA,"17,26,19,28,21,30,23,32,39,46,53,52,43,50,59,62,63,64,48,16,8,6,22,13,12",283,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,NA,0,"8,57,64,1,37,36,28,29,43,44,35,52,45,45,45,48,31,31,36,36,36,36,36,36,36","-31,29,50,-31,22,-27,-45,-10,-4,21,32,44,1,-34,-6,-33,41,52,32,-57,37,46,57,22,8",NA,"51,36,21,6,23,40,54,60,25,1,11,27,49,58,38,30,32,8,15,14,22,4,12,28,45",216,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1650,NA,1,"22,35,37,52,19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","30,51,-45,38,44,14,-49,-36,49,-7,52,-16,-43,37,58,-40,16,-52,-53,44,16,-13,-30,-20,14",NA,"33,35,37,39,24,22,20,18,1,3,5,7,56,54,52,50,59,44,62,48,14,29,43,57,17",59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1434,NA,1,"17,59,39,28,22,6,2,34,41,55,55,55,55,55,55,55,52,52,52,52,52,52,52,52,52","-29,53,42,245,3,-6,60,2,-40,-22,225,-63,52,49,-26,-3,-47,-15,-16,-20,6,-50,3,35,-35",NA,"1,11,29,55,61,44,26,57,24,8,5,31,46,64,17,35,50,59,38,40,14,16,6,23,21",403,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
4,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,905,NA,1,"37,37,34,34,34,34,34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20","-47,22,44,-39,11,-1,-35,-41,-60,-7,-22,49,6,-22,-21,50,24,-25,-25,-46,-29,-48,18,40,-7",NA,"57,58,59,60,61,62,63,64,55,46,37,28,19,10,1,2,3,4,5,6,7,8,16,23,30",-211,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,0,"30,30,30,30,30,30,30,44,44,44,44,44,44,44,55,18,18,18,18,18,18,18,18,18,18","30,3,26,-47,-2,63,-42,38,-49,-36,3,21,-20,-59,41,-14,-45,-36,-13,-6,27,-57,30,2,30",NA,"17,11,29,6,32,47,53,63,33,43,59,57,52,2,22,8,64,37,27,13,19,61,39,23,16",-112,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,NA,1,"63,63,22,22,44,35,58,54,54,54,54,54,37,38,38,38,38,38,38,48,20,19,27,27,27","36,-25,14,-54,23,38,18,-55,-9,-48,21,-6,-3,-9,12,13,29,6,-35,-47,-36,-7,237,55,31",NA,"49,58,51,60,53,62,55,64,1,10,3,12,5,14,7,16,17,26,19,28,21,30,23,32,39",199,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,921,NA,0,"61,27,31,38,39,47,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","6,-65,-9,-16,48,32,12,-46,-31,-55,-52,37,22,36,20,-50,42,-47,-13,-42,28,-14,6,31,-21",NA,"9,18,26,33,42,50,57,64,55,48,39,32,23,16,7,5,14,21,30,37,46,53,62,59,44",-141,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,343,NA,1,"28,64,40,41,13,8,40,40,40,40,40,40,25,51,44,58,57,57,57,57,57,57,57,57,58","46,-46,2,55,22,-34,-8,46,21,-12,-14,63,-40,17,-23,44,-32,37,-15,38,-14,-39,19,-31,272",NA,"50,52,54,56,47,45,43,41,34,36,38,40,31,29,27,25,18,20,22,24,15,13,11,9,58",374,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
