playerNr,groupNr,subjectNr,period,check,prolificID,orderEnvs1,orderEnvs2,orderEnvs3,counter1,counter2,counter3,orderRounds,thisRound,treatment,gemPresent,socialInfo,points,refreshTaskCount,clickedCells,totalPoints,thisEnv,consent,rnd_decI,counterEnv1ng,qR1,qR2,qR3,newvar,strategy,general,age,gender,time_check,time_welcome,time_consent,time_i1,time_i2,time_i3,time_i4,time_i5,time_i6,time_i7,time_i8,time_i9,time_i10,time_iend,time_quiz,time_play.(old),time_play,time_break,time_Questionnaire,time_end,time_376482
23,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,921,NA,0,"61,27,31,38,39,47,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","-10,-46,-54,8,-51,11,-2,-6,54,71,56,26,28,71,35,60,44,40,45,59,65,62,69,51,75",NA,"26,21,54,62,39,40,43,15,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12",761,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0,0,1,esuoh,0,NA,NA,NA,NA,NA,NA,"1650,868,800,1639,1899,1599,838,1177,343,335,905,332",1650,0,1,"22,35,37,52,19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","-13,47,-6,57,8,55,24,39,-29,48,42,43,61,52,52,35,48,36,26,51,61,56,50,56,36",1,"22,2,9,2,36,2,43,2,23,2,2,2,2,2,2,2,27,27,27,2,2,2,2,2,2",935,2,0,12,0,3,2,2,2,NA,NA,NA,NA,13,9,12,28,19,11,7,7,5,17,14,37,9,63,23,NA,NA,NA,NA,NA,NA
25,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,868,NA,1,"31,27,38,14,9,41,41,41,41,62,58,9,9,9,9,9,9,9,9,9,9,9,9,9,9","3,51,49,51,-2,50,-12,48,-36,50,49,-61,50,51,50,52,50,51,50,49,49,50,52,49,51",NA,"2,37,37,37,15,37,18,37,42,37,37,40,37,37,37,37,37,37,37,37,37,37,37,37,37",894,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,NA,0,"36,35,34,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11","-33,-37,22,-2,-1,27,-3,21,23,21,23,37,59,33,44,74,72,36,73,55,47,48,45,74,50",NA,"18,37,52,59,40,34,34,52,52,52,7,12,12,12,12,12,12,12,12,12,12,12,12,12,12",808,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1639,NA,1,"16,41,5,9,9,9,9,9,9,16,16,16,16,16,16,45,20,1,7,16,16,39,60,35,16","48,48,51,49,50,52,50,-8,40,43,51,51,48,51,50,52,5,49,-44,48,51,49,50,51,49",NA,"16,16,16,16,16,16,16,43,9,9,16,16,16,16,16,16,45,16,1,16,16,16,16,16,16",1034,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1899,NA,0,"8,57,64,1,37,36,28,29,43,44,35,52,45,45,45,48,31,31,36,36,36,36,36,36,36","9,9,-36,40,43,13,49,46,-39,24,30,30,26,-21,36,27,44,43,26,57,40,48,54,43,44",NA,"53,64,58,27,27,38,15,15,30,15,27,11,13,9,11,11,27,27,27,37,37,37,37,37,37",685,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1599,NA,0,"22,35,45,19,15,50,51,43,34,25,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34","-7,29,41,38,-27,31,-40,41,44,37,-37,59,64,41,52,50,40,45,42,54,59,43,43,55,44",NA,"7,2,2,2,18,2,23,2,2,2,28,37,37,35,37,35,37,35,35,35,35,35,35,35,35",841,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,838,NA,0,"30,30,30,30,30,30,30,44,44,44,44,44,44,44,55,18,18,18,18,18,18,18,18,18,18","41,45,34,37,36,36,37,37,37,51,50,50,49,51,51,49,51,50,31,52,49,49,51,49,52",NA,"18,18,31,31,18,31,31,31,31,45,45,45,45,45,45,45,45,45,19,45,45,45,45,45,45",1125,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
25,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,NA,1,"63,63,22,22,44,35,58,54,54,54,54,54,37,38,38,38,38,38,38,48,20,19,27,27,27","-44,10,36,34,6,-8,-29,34,37,37,35,12,-42,36,36,46,43,59,37,52,57,43,52,45,35",NA,"50,7,63,63,22,44,19,63,63,54,54,39,34,54,63,38,38,38,38,38,38,38,38,38,38",659,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
