"player","points","cells","env_number","gempresent","round","tot_points","gem","trial","unique_rounds","round_id","cell","x","y","round_gem_found","performance_group_f","performance_group"
85,42,20,4,1,8,594,0,21,1016,1016,19,3,2,NA,NA,NA
85,44,20,4,1,8,594,0,22,1016,1016,19,3,2,NA,NA,NA
85,34,22,4,1,8,594,0,23,1016,1016,21,5,2,NA,NA,NA
85,37,22,4,1,8,594,0,24,1016,1016,21,5,2,NA,NA,NA
85,18,12,4,1,8,594,0,25,1016,1016,11,3,1,NA,NA,NA
85,41,21,6,1,9,6210,0,1,1017,1017,20,4,2,2,"high",3
85,264,20,6,1,9,6210,1,2,1017,1017,19,3,2,2,"high",3
85,252,20,6,1,9,6210,1,3,1017,1017,19,3,2,2,"high",3
85,265,20,6,1,9,6210,1,4,1017,1017,19,3,2,2,"high",3
85,265,20,6,1,9,6210,1,5,1017,1017,19,3,2,2,"high",3
85,268,20,6,1,9,6210,1,6,1017,1017,19,3,2,2,"high",3
85,269,20,6,1,9,6210,1,7,1017,1017,19,3,2,2,"high",3
85,253,20,6,1,9,6210,1,8,1017,1017,19,3,2,2,"high",3
85,270,20,6,1,9,6210,1,9,1017,1017,19,3,2,2,"high",3
85,246,20,6,1,9,6210,1,10,1017,1017,19,3,2,2,"high",3
85,256,20,6,1,9,6210,1,11,1017,1017,19,3,2,2,"high",3
85,254,20,6,1,9,6210,1,12,1017,1017,19,3,2,2,"high",3
85,242,20,6,1,9,6210,1,13,1017,1017,19,3,2,2,"high",3
85,257,20,6,1,9,6210,1,14,1017,1017,19,3,2,2,"high",3
85,245,20,6,1,9,6210,1,15,1017,1017,19,3,2,2,"high",3
85,268,20,6,1,9,6210,1,16,1017,1017,19,3,2,2,"high",3
85,245,20,6,1,9,6210,1,17,1017,1017,19,3,2,2,"high",3
85,247,20,6,1,9,6210,1,18,1017,1017,19,3,2,2,"high",3
85,249,20,6,1,9,6210,1,19,1017,1017,19,3,2,2,"high",3
85,253,20,6,1,9,6210,1,20,1017,1017,19,3,2,2,"high",3
85,244,20,6,1,9,6210,1,21,1017,1017,19,3,2,2,"high",3
85,261,20,6,1,9,6210,1,22,1017,1017,19,3,2,2,"high",3
85,272,20,6,1,9,6210,1,23,1017,1017,19,3,2,2,"high",3
85,271,20,6,1,9,6210,1,24,1017,1017,19,3,2,2,"high",3
85,253,20,6,1,9,6210,1,25,1017,1017,19,3,2,2,"high",3
85,-53,51,3,0,10,-47,0,1,1018,1018,50,2,6,NA,NA,NA
85,72,28,3,0,10,-47,0,2,1018,1018,27,3,3,NA,NA,NA
85,-35,29,3,0,10,-47,0,3,1018,1018,28,4,3,NA,NA,NA
85,21,19,3,0,10,-47,0,4,1018,1018,18,2,2,NA,NA,NA
85,52,18,3,0,10,-47,0,5,1018,1018,17,1,2,NA,NA,NA
85,-23,25,3,0,10,-47,0,6,1018,1018,24,0,3,NA,NA,NA
85,-13,33,3,0,10,-47,0,7,1018,1018,32,0,4,NA,NA,NA
85,48,42,3,0,10,-47,0,8,1018,1018,41,1,5,NA,NA,NA
85,-72,53,3,0,10,-47,0,9,1018,1018,52,4,6,NA,NA,NA
85,-48,52,3,0,10,-47,0,10,1018,1018,51,3,6,NA,NA,NA
85,44,54,3,0,10,-47,0,11,1018,1018,53,5,6,NA,NA,NA
85,-26,60,3,0,10,-47,0,12,1018,1018,59,3,7,NA,NA,NA
85,14,61,3,0,10,-47,0,13,1018,1018,60,4,7,NA,NA,NA
85,8,47,3,0,10,-47,0,14,1018,1018,46,6,5,NA,NA,NA
85,-37,39,3,0,10,-47,0,15,1018,1018,38,6,4,NA,NA,NA
85,20,40,3,0,10,-47,0,16,1018,1018,39,7,4,NA,NA,NA
85,-20,24,3,0,10,-47,0,17,1018,1018,23,7,2,NA,NA,NA
85,6,23,3,0,10,-47,0,18,1018,1018,22,6,2,NA,NA,NA
85,-50,22,3,0,10,-47,0,19,1018,1018,21,5,2,NA,NA,NA
85,-7,30,3,0,10,-47,0,20,1018,1018,29,5,3,NA,NA,NA
85,-13,31,3,0,10,-47,0,21,1018,1018,30,6,3,NA,NA,NA
85,53,38,3,0,10,-47,0,22,1018,1018,37,5,4,NA,NA,NA
85,7,46,3,0,10,-47,0,23,1018,1018,45,5,5,NA,NA,NA
85,28,45,3,0,10,-47,0,24,1018,1018,44,4,5,NA,NA,NA
85,-23,37,3,0,10,-47,0,25,1018,1018,36,4,4,NA,NA,NA
85,36,11,4,1,11,-58,0,1,1019,1019,10,2,1,NA,NA,NA
85,10,19,4,1,11,-58,0,2,1019,1019,18,2,2,NA,NA,NA
85,-36,27,4,1,11,-58,0,3,1019,1019,26,2,3,NA,NA,NA
85,-18,35,4,1,11,-58,0,4,1019,1019,34,2,4,NA,NA,NA
85,22,43,4,1,11,-58,0,5,1019,1019,42,2,5,NA,NA,NA
